Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22331746,The Bad Boy Stole My Bra,Cherry_Cola_X,"Cherry_Cola_X, Cherry_Cola_X",,"=""""","=""""",4,4.08,Wattpad,ebook,181,2014,2014,2014/10/22,2014/10/21,,,read,,,,1,0
17565845,"Panic (Panic, #1)",Lauren Oliver,"Oliver, Lauren","蘿倫·奧立佛, 劉嘉路","=""0062014552""","=""9780062014559""",0,3.56,HarperCollins,Hardcover,408,2014,2014,,2014/10/16,to-read,to-read (#11),to-read,,,,0,0
22609310,Confess,Colleen Hoover,"Hoover, Colleen",,"=""1476791457""","=""9781476791456""",0,4.10,Atria Books,Paperback,306,2015,2015,,2014/10/16,to-read,to-read (#10),to-read,,,,0,0
2813153,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,"=""159514188X""","=""9781595141880""",4,3.85,Razorbill,Paperback,288,2011,2007,2014/10/15,2014/10/16,,,read,,,,1,0
5970233,"Brisingr (Inheritance, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0552552127""","=""9780552552127""",4,4.09,Corgi,Paperback,748,2009,2008,2014/10/15,2014/09/22,,,read,,,,1,0
18000277,Finally Saved,raylor17,"raylor17, raylor17",,"=""""","=""""",3,3.93,Wattpad,ebook,115,2013,2013,2014/10/03,2014/08/24,,,read,,,,1,0
12578305,The Chaos of Stars,Kiersten White,"White, Kiersten",,"=""0062135929""","=""9780062135926""",0,3.57,HarperTeen,Hardcover,277,2013,2013,,2014/09/25,to-read,to-read (#9),to-read,,,,0,0
839223,"Eldest (Inheritance, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0552552119""","=""9780552552110""",4,4.03,Corgi,Paperback,682,2006,2005,2014/09/21,2014/09/05,,,read,,,,1,0
11958583,Skinny,Donna Cooner,"Cooner, Donna",,"=""0545427630""","=""9780545427630""",5,3.88,Point,Hardcover,272,2012,2012,,2014/01/22,best-books-ever,best-books-ever (#2),read,"You never really truly understand how it feels like to be fat, stupid or anything for that matter unless you've lived through it yourself. Even reading this book I would only be able to catch a glimpse of what it must be like to be 302 pounds. It brought me to tears at some parts of this story. I am sure many people have that voice in their head telling them what's wrong with them when in actual fact sometimes all we need is someone to open our eyes. To even imagine finding someone who loves you whether you're 302 pounds or 100 pounds is the most beautiful thing in the world. This book is really something else and I 100% recommend you to read it. You won't regret it.",,,1,0
7197913,"The Wide-Awake Princess (Wide-Awake Princess, #1)",E.D. Baker,"Baker, E.D.",,"=""159990487X""","=""9781599904870""",0,4.11,Bloomsbury USA Childrens,Hardcover,261,2010,2010,,2014/09/10,to-read,to-read (#8),to-read,,,,0,0
21086959,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""0385390092""","=""9780385390095""",5,3.67,Random House,Paperback,240,2014,2014,2014/09/09,2014/09/08,,,read,THE ENDING!!! All the truth and the lies... OMG I just loved it,,,1,0
16045088,Charm & Strange,Stephanie Kuehn,"Kuehn, Stephanie",,"=""1250021944""","=""9781250021946""",0,3.76,St. Martin's Griffin,Hardcover,216,2013,2013,,2014/09/08,to-read,to-read (#7),to-read,,,,0,0
12751616,"Petals on the Wind (Dollanganger, #2)",V.C. Andrews,"Andrews, V.C.",,"=""0007443153""","=""9780007443154""",3,3.82,Harper London,Paperback,486,2011,1980,2014/09/07,2014/08/23,,,read,"The plot is something I've never read before or heard of. It's interesting and unique, but never have I hated a main character more than I have hated Cathy. Cathy has made me hate her for at least two thirds of this book. Despite that, I finished the book and I'm actually fairly interested in reading its sequel :3",,,1,0
13494733,Eragon,Christopher Paolini,"Paolini, Christopher",,"=""""","=""""",4,3.95,Corgi Books,Mass Market Paperback,517,2011,2002,2014/09/04,2014/08/29,,,read,"As far as the adventure genre is concerned, this book is immensely entertaining.",,,1,0
12133821,"Switched (Trylle, #1)",Amanda Hocking,"Hocking, Amanda",,"=""1447205693""","=""9781447205692""",5,3.87,Tor,Paperback,328,2012,2010,,2014/01/22,,,read,,,,1,0
17166332,Identity Theft (Point Horror),Anna Davies,"Davies, Anna",,"=""0545477123""","=""9780545477123""",4,3.43,Point,Paperback,256,2013,2013,2014/08/28,2014/08/29,,,read,THAT ENDING :3,,,1,0
12180248,"Enchanted (Woodcutter Sisters, #1; Books of Arilland, #1)",Alethea Kontis,"Kontis, Alethea",,"=""0547645708""","=""9780547645704""",4,3.74,Harcourt Children's Books,Hardcover,308,2012,2012,2014/08/28,2014/08/23,,,read,I like it because it's an incorporation of all the fairy tales. It just makes sense to my child-like alterego :),,,1,0
15950494,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""147111614X""","=""9781471116148""",4,4.23,SIMON SCHUSTER,Paperback,231,2012,1999,2014/08/28,2014/08/28,,,read,,,,1,0
8318303,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",,"=""0007350805""","=""9780007350803""",4,4.15,HarperPress,Paperback,462,2010,1847,2014/08/27,2014/04/09,,,read,"As a classic this book is actually pretty interesting. Sure, it's pretty long winded at many points, but it is a good storyline!",,,1,0
13316292,Defriended (Point Horror),Ruth Baron,"Baron, Ruth",,"=""0545423570""","=""9780545423571""",3,3.47,Scholastic,Paperback,248,2013,2013,2014/08/17,2014/08/17,,,read,,,,1,0
20660572,"A Beautiful Wedding (Beautiful, #2.5)",Jamie McGuire,"McGuire, Jamie",,"=""1471133567""","=""9781471133565""",3,3.96,Simon & Shuster UK,Paperback,146,2013,2013,2014/08/14,2014/08/14,,,read,,,,1,0
